function,label,x1,x1space,yc1,y1space,anchor,textweight,width,textsize,fillcolor,display
text,Overall,1.5,graphpercent,Overall,datavalue,left,bold,200,10,white,all
text,1.65 (1.38-1.98),-2,wallpercent,Overall,datavalue,right,,200,8,white,all
text,Sex,1.5,graphpercent,Sex,datavalue,left,bold,200,10,white,all
text,Male,3,graphpercent,Male,datavalue,left,,200,10,white,all
text,1.93 (1.14-2.58),-2,wallpercent,Male,datavalue,right,,200,8,white,all
text,Female,3,graphpercent,Female,datavalue,left,,200,10,white,all
text,1.39 (0.82-2.36),-2,wallpercent,Female,datavalue,right,,200,8,white,all
text,History of Diabetes,1.5,graphpercent,History of Diabetes,datavalue,left,bold,200,10,white,all
text,Yes,3,graphpercent,DM1,datavalue,left,,200,10,white,all
text,1.31 (0.93-1.85),-2,wallpercent,DM1,datavalue,right,,200,8,white,all
text,No*,3,graphpercent,DM0,datavalue,left,,200,10,white,all
text,,-2,wallpercent,DM0,datavalue,right,,200,8,white,all
text,History of Heart Failure,1.5,graphpercent,History of Heart Failure,datavalue,left,bold,200,10,white,all
text,Yes ,3,graphpercent,CHF1,datavalue,left,,200,10,white,all
text,1.34 (0.94-1.92),-2,wallpercent,CHF1,datavalue,right,,200,8,white,all
text,No ,3,graphpercent,CHF0,datavalue,left,,200,10,white,all
text,2.79 (1.67-4.67),-2,wallpercent,CHF0,datavalue,right,,200,8,white,all
