function,label,x1,x1space,yc1,y1space,anchor,textweight,width,textsize,fillcolor,display
text,OVERALL,1.5,graphpercent,Overall,datavalue,left,bold,200,10,white,all
text,MALE,3,graphpercent,MALE,datavalue,left,,200,10,white,all
text,1.60 (1.42-1.80),-2,wallpercent,MALE,datavalue,right,,200,8,white,all
text,Revasculazation,3,graphpercent,Revasculazation,datavalue,left,,200,10,white,all
text,1.54 (1.32-1.81),-2,wallpercent,Revasculazation,datavalue,right,,200,8,white,all
text,Amputation,3,graphpercent,Amputation,datavalue,left,,200,10,white,all
text,1.65 (1.38-1.98),-2,wallpercent,Amputation,datavalue,right,,200,8,white,all
text,Death,3,graphpercent,Death,datavalue,left,,200,10,white,all
text,1.09 (0.99-1.19),-2,wallpercent,Death,datavalue,right,,200,8,white,all
text,Male,1.5,graphpercent,Male,datavalue,left,bold,200,10,white,all
text,MALE,3,graphpercent,M_MALE,datavalue,left,,200,10,white,all
text,1.75 (1.44-2.13),-2,wallpercent,M_MALE,datavalue,right,,200,8,white,all
text,Revasculazation,3,graphpercent,M_Revasculazation,datavalue,left,,200,10,white,all
text,1.59 (1.24-2.04),-2,wallpercent,M_Revasculazation,datavalue,right,,200,8,white,all
text,Amputation,3,graphpercent,M_Amputation,datavalue,left,,200,10,white,all
text,1.93 (1.44-2.58),-2,wallpercent,M_Amputation,datavalue,right,,200,8,white,all
text,Death,3,graphpercent,M_Death,datavalue,left,,200,10,white,all
text,1.07 (0.94-1.23),-2,wallpercent,M_Death,datavalue,right,,200,8,white,all
text,Female,1.5,graphpercent,Female,datavalue,left,bold,200,10,white,all
text,MALE,3,graphpercent,F_MALE,datavalue,left,,200,10,white,all
text,1.52 (1.14-2.01),-2,wallpercent,F_MALE,datavalue,right,,200,8,white,all
text,Revasculazation,3,graphpercent,F_Revasculazation,datavalue,left,,200,10,white,all
text,1.50 (1.05-2.12),-2,wallpercent,F_Revasculazation,datavalue,right,,200,8,white,all
text,Amputation,3,graphpercent,F_Amputation,datavalue,left,,200,10,white,all
text,1.39 (0.82-2.36),-2,wallpercent,F_Amputation,datavalue,right,,200,8,white,all
text,Death,3,graphpercent,F_Death,datavalue,left,,200,10,white,all
text,1.13 (0.92-1.39),-2,wallpercent,F_Death,datavalue,right,,200,8,white,all
