varname,varlabel,aki_or,aki_lci,aki_uci,aki_orci
Overall,Overall,1.15,1.04,1.25,"1.15(1.04,1.25)"
header,Sex,,,,
Male,Male,1.12,0.95,1.29,"1.12(0.95,1.29)"
Female,Female,1.17,1.02,1.32,"1.17(1.02,1.32)"
header,Age,,,,
>75 years,>75 years,1.1,0.95,1.24,"1.10(0.95,1.24)"
<=75 years,<=75 years,1.21,1.04,1.38,"1.21(1.04,1.38)"
header,Race-ethnicity,,,,
Hispanic White,Hispanic White,0.88,0.6,1.17,"0.88(0.60,1.17)"
Non-Hispanic White,Non-Hispanic White,1.16,1.02,1.3,"1.16(1.02,1.30)"
Black,Black,1.27,1.01,1.52,"1.27(1.01,1.52)"
header,Baseline Diabetes,,,,
Yes,Yes,1.01,0.84,1.17,"1.01(0.84,1.17)"
No,No,1.25,1.09,1.39,"1.25(1.09,1.39)"
